Thu, 22 Apr 2021 21:34:03 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:34:33 GMT | ERROR | c10.log | MongooseServerSelectionError: connect ECONNREFUSED 127.0.0.1:27017 | 
Thu, 22 Apr 2021 21:35:56 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:36:17 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:36:53 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:37:23 GMT | ERROR | c10.log | MongooseServerSelectionError: connect ECONNREFUSED 127.0.0.1:27017 | 
Thu, 22 Apr 2021 21:38:24 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:38:36 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:38:52 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:38:57 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:38:59 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:39:01 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:39:31 GMT | ERROR | c10.log | MongooseServerSelectionError: connect ECONNREFUSED 127.0.0.1:27017 | 
Thu, 22 Apr 2021 21:39:54 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:40:24 GMT | ERROR | c10.log | MongooseServerSelectionError: connect ECONNREFUSED 127.0.0.1:27017 | 
Thu, 22 Apr 2021 21:40:48 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:41:02 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:41:32 GMT | ERROR | c10.log | MongooseServerSelectionError: connect ECONNREFUSED 127.0.0.1:27017 | 
Thu, 22 Apr 2021 21:41:34 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:41:41 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:42:11 GMT | ERROR | c10.log | MongooseServerSelectionError: connect ECONNREFUSED 127.0.0.1:27017 | 
Thu, 22 Apr 2021 21:42:33 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:42:39 GMT | INFO | c10.log | Server running on port 3000 | 
Thu, 22 Apr 2021 21:43:09 GMT | ERROR | c10.log | MongooseServerSelectionError: connect ECONNREFUSED 127.0.0.1:27017 | 
Tue, 22 Jun 2021 20:29:36 GMT | INFO | c10.log | Server running on port 3000 | 
Tue, 22 Jun 2021 20:29:36 GMT | INFO | c10.log | Database is connected | 
Tue, 22 Jun 2021 20:31:30 GMT | INFO | c10.log | Server running on port 3000 | 
Tue, 22 Jun 2021 20:31:30 GMT | INFO | c10.log | Database is connected | 
Tue, 22 Jun 2021 20:34:27 GMT | INFO | c10.log | Server running on port 3000 | 
Tue, 22 Jun 2021 20:34:27 GMT | INFO | c10.log | Database is connected | 
Tue, 22 Jun 2021 20:43:16 GMT | INFO | c10.log | Server running on port 3000 | 
Tue, 22 Jun 2021 20:43:16 GMT | INFO | c10.log | Database is connected | 
Tue, 22 Jun 2021 20:43:19 GMT | INFO | c10.log | Server running on port 3000 | 
Tue, 22 Jun 2021 20:43:19 GMT | INFO | c10.log | Database is connected | 
Tue, 22 Jun 2021 21:02:54 GMT | INFO | c10.log | Server running on port 3000 | 
Tue, 22 Jun 2021 21:02:54 GMT | INFO | c10.log | Database is connected | 
Tue, 22 Jun 2021 21:03:02 GMT | INFO | c10.log | Server running on port 3000 | 
